"IDE_CLIENTE";"IDE_CLIENTE_NIF";"DES_CLIENTE";"NUM_EDAD";"NUM_TAMANO_FAMILIAR";"NUM_ANOS_EXPERIENCIA";"NUM_INGRESOS_ANO";"IDE_NIVEL_EDUCACION"
410;"MIG100016";"PRUEBAAPELLIDO MIG100016, PRUEBANOMBRE MIG100016";60;1;30;22000;3
5394;"MIG105000";"PRUEBAAPELLIDO MIG105000, PRUEBANOMBRE MIG105000";28;3;4;83000;1
5393;"MIG104999";"PRUEBAAPELLIDO MIG104999, PRUEBANOMBRE MIG104999";65;3;40;49000;2
5392;"MIG104998";"PRUEBAAPELLIDO MIG104998, PRUEBANOMBRE MIG104998";63;2;39;24000;3
5391;"MIG104997";"PRUEBAAPELLIDO MIG104997, PRUEBANOMBRE MIG104997";30;4;4;15000;1
5390;"MIG104996";"PRUEBAAPELLIDO MIG104996, PRUEBANOMBRE MIG104996";29;1;3;40000;3
5389;"MIG104995";"PRUEBAAPELLIDO MIG104995, PRUEBANOMBRE MIG104995";64;3;40;75000;3
5388;"MIG104994";"PRUEBAAPELLIDO MIG104994, PRUEBANOMBRE MIG104994";45;2;21;218000;1
5387;"MIG104993";"PRUEBAAPELLIDO MIG104993, PRUEBANOMBRE MIG104993";30;4;5;13000;3
5386;"MIG104992";"PRUEBAAPELLIDO MIG104992, PRUEBANOMBRE MIG104992";51;1;25;92000;2
5385;"MIG104991";"PRUEBAAPELLIDO MIG104991, PRUEBANOMBRE MIG104991";55;4;25;58000;3
5384;"MIG104990";"PRUEBAAPELLIDO MIG104990, PRUEBANOMBRE MIG104990";24;1;0;38000;3
5383;"MIG104989";"PRUEBAAPELLIDO MIG104989, PRUEBANOMBRE MIG104989";34;1;8;85000;1
5382;"MIG104988";"PRUEBAAPELLIDO MIG104988, PRUEBANOMBRE MIG104988";48;3;23;43000;2
5381;"MIG104987";"PRUEBAAPELLIDO MIG104987, PRUEBANOMBRE MIG104987";32;1;6;78000;3
5380;"MIG104986";"PRUEBAAPELLIDO MIG104986, PRUEBANOMBRE MIG104986";48;3;23;30000;2
5379;"MIG104985";"PRUEBAAPELLIDO MIG104985, PRUEBANOMBRE MIG104985";27;4;1;98000;3
5378;"MIG104984";"PRUEBAAPELLIDO MIG104984, PRUEBANOMBRE MIG104984";51;1;26;72000;1
5377;"MIG104983";"PRUEBAAPELLIDO MIG104983, PRUEBANOMBRE MIG104983";36;4;10;45000;1
5376;"MIG104982";"PRUEBAAPELLIDO MIG104982, PRUEBANOMBRE MIG104982";34;2;9;195000;1
5375;"MIG104981";"PRUEBAAPELLIDO MIG104981, PRUEBANOMBRE MIG104981";29;3;5;135000;1
5374;"MIG104980";"PRUEBAAPELLIDO MIG104980, PRUEBANOMBRE MIG104980";50;1;26;92000;2
5373;"MIG104979";"PRUEBAAPELLIDO MIG104979, PRUEBANOMBRE MIG104979";57;4;27;63000;3
5372;"MIG104978";"PRUEBAAPELLIDO MIG104978, PRUEBANOMBRE MIG104978";40;3;15;54000;3
5371;"MIG104977";"PRUEBAAPELLIDO MIG104977, PRUEBANOMBRE MIG104977";29;1;5;31000;2
5370;"MIG104976";"PRUEBAAPELLIDO MIG104976, PRUEBANOMBRE MIG104976";38;4;11;29000;2
5369;"MIG104975";"PRUEBAAPELLIDO MIG104975, PRUEBANOMBRE MIG104975";59;4;33;64000;2
5368;"MIG104974";"PRUEBAAPELLIDO MIG104974, PRUEBANOMBRE MIG104974";31;4;1;68000;3
5367;"MIG104973";"PRUEBAAPELLIDO MIG104973, PRUEBANOMBRE MIG104973";58;3;32;41000;3
5366;"MIG104972";"PRUEBAAPELLIDO MIG104972, PRUEBANOMBRE MIG104972";58;1;28;73000;3
5365;"MIG104971";"PRUEBAAPELLIDO MIG104971, PRUEBANOMBRE MIG104971";37;2;13;95000;2
5364;"MIG104970";"PRUEBAAPELLIDO MIG104970, PRUEBANOMBRE MIG104970";45;2;19;60000;3
5363;"MIG104969";"PRUEBAAPELLIDO MIG104969, PRUEBANOMBRE MIG104969";58;4;32;41000;1
5362;"MIG104968";"PRUEBAAPELLIDO MIG104968, PRUEBANOMBRE MIG104968";41;1;16;69000;2
5361;"MIG104967";"PRUEBAAPELLIDO MIG104967, PRUEBANOMBRE MIG104967";41;1;17;34000;1
5360;"MIG104966";"PRUEBAAPELLIDO MIG104966, PRUEBANOMBRE MIG104966";29;1;5;33000;2
5359;"MIG104965";"PRUEBAAPELLIDO MIG104965, PRUEBANOMBRE MIG104965";53;1;27;110000;1
5358;"MIG104964";"PRUEBAAPELLIDO MIG104964, PRUEBANOMBRE MIG104964";32;2;6;98000;3
5357;"MIG104963";"PRUEBAAPELLIDO MIG104963, PRUEBANOMBRE MIG104963";46;3;20;122000;3
5356;"MIG104962";"PRUEBAAPELLIDO MIG104962, PRUEBANOMBRE MIG104962";39;3;14;108000;3
5355;"MIG104961";"PRUEBAAPELLIDO MIG104961, PRUEBANOMBRE MIG104961";58;1;28;81000;3
5354;"MIG104960";"PRUEBAAPELLIDO MIG104960, PRUEBANOMBRE MIG104960";51;1;27;55000;2
5353;"MIG104959";"PRUEBAAPELLIDO MIG104959, PRUEBANOMBRE MIG104959";50;1;26;19000;3
5352;"MIG104958";"PRUEBAAPELLIDO MIG104958, PRUEBANOMBRE MIG104958";29;2;0;50000;3
5351;"MIG104957";"PRUEBAAPELLIDO MIG104957, PRUEBANOMBRE MIG104957";39;4;13;59000;3
5350;"MIG104956";"PRUEBAAPELLIDO MIG104956, PRUEBANOMBRE MIG104956";63;2;37;39000;3
5349;"MIG104955";"PRUEBAAPELLIDO MIG104955, PRUEBANOMBRE MIG104955";45;3;19;22000;1
5348;"MIG104954";"PRUEBAAPELLIDO MIG104954, PRUEBANOMBRE MIG104954";47;3;21;32000;1
5347;"MIG104953";"PRUEBAAPELLIDO MIG104953, PRUEBANOMBRE MIG104953";29;4;3;53000;3
5346;"MIG104952";"PRUEBAAPELLIDO MIG104952, PRUEBANOMBRE MIG104952";53;1;27;65000;3
5345;"MIG104951";"PRUEBAAPELLIDO MIG104951, PRUEBANOMBRE MIG104951";47;1;23;19000;1
5344;"MIG104950";"PRUEBAAPELLIDO MIG104950, PRUEBANOMBRE MIG104950";29;4;5;64000;1
5343;"MIG104949";"PRUEBAAPELLIDO MIG104949, PRUEBANOMBRE MIG104949";44;1;20;43000;1
5342;"MIG104948";"PRUEBAAPELLIDO MIG104948, PRUEBANOMBRE MIG104948";39;2;13;41000;1
5341;"MIG104947";"PRUEBAAPELLIDO MIG104947, PRUEBANOMBRE MIG104947";51;1;26;42000;2
5340;"MIG104946";"PRUEBAAPELLIDO MIG104946, PRUEBANOMBRE MIG104946";42;2;18;49000;1
5339;"MIG104945";"PRUEBAAPELLIDO MIG104945, PRUEBANOMBRE MIG104945";49;3;24;33000;2
5338;"MIG104944";"PRUEBAAPELLIDO MIG104944, PRUEBANOMBRE MIG104944";26;1;0;12000;2
5337;"MIG104943";"PRUEBAAPELLIDO MIG104943, PRUEBANOMBRE MIG104943";52;1;26;109000;1
5336;"MIG104942";"PRUEBAAPELLIDO MIG104942, PRUEBANOMBRE MIG104942";28;2;4;112000;2
5335;"MIG104941";"PRUEBAAPELLIDO MIG104941, PRUEBANOMBRE MIG104941";46;3;22;19000;1
5334;"MIG104940";"PRUEBAAPELLIDO MIG104940, PRUEBANOMBRE MIG104940";54;3;29;70000;2
5333;"MIG104939";"PRUEBAAPELLIDO MIG104939, PRUEBANOMBRE MIG104939";61;4;35;80000;3
5332;"MIG104938";"PRUEBAAPELLIDO MIG104938, PRUEBANOMBRE MIG104938";33;1;8;162000;1
5331;"MIG104937";"PRUEBAAPELLIDO MIG104937, PRUEBANOMBRE MIG104937";45;3;20;94000;3
5330;"MIG104936";"PRUEBAAPELLIDO MIG104936, PRUEBANOMBRE MIG104936";59;2;33;81000;1
5329;"MIG104935";"PRUEBAAPELLIDO MIG104935, PRUEBANOMBRE MIG104935";26;2;0;85000;3
5328;"MIG104934";"PRUEBAAPELLIDO MIG104934, PRUEBANOMBRE MIG104934";47;1;23;94000;1
5327;"MIG104933";"PRUEBAAPELLIDO MIG104933, PRUEBANOMBRE MIG104933";59;1;35;111000;1
5326;"MIG104932";"PRUEBAAPELLIDO MIG104932, PRUEBANOMBRE MIG104932";57;1;27;55000;3
5325;"MIG104931";"PRUEBAAPELLIDO MIG104931, PRUEBANOMBRE MIG104931";63;3;38;110000;2
5324;"MIG104930";"PRUEBAAPELLIDO MIG104930, PRUEBANOMBRE MIG104930";62;2;36;39000;1
5323;"MIG104929";"PRUEBAAPELLIDO MIG104929, PRUEBANOMBRE MIG104929";57;1;33;28000;3
5322;"MIG104928";"PRUEBAAPELLIDO MIG104928, PRUEBANOMBRE MIG104928";43;1;19;121000;2
5321;"MIG104927";"PRUEBAAPELLIDO MIG104927, PRUEBANOMBRE MIG104927";37;2;13;83000;2
5320;"MIG104926";"PRUEBAAPELLIDO MIG104926, PRUEBANOMBRE MIG104926";64;4;39;82000;2
5319;"MIG104925";"PRUEBAAPELLIDO MIG104925, PRUEBANOMBRE MIG104925";36;2;12;89000;1
5318;"MIG104924";"PRUEBAAPELLIDO MIG104924, PRUEBANOMBRE MIG104924";40;3;15;73000;1
5317;"MIG104923";"PRUEBAAPELLIDO MIG104923, PRUEBANOMBRE MIG104923";31;1;5;28000;1
5316;"MIG104922";"PRUEBAAPELLIDO MIG104922, PRUEBANOMBRE MIG104922";37;3;11;42000;3
5315;"MIG104921";"PRUEBAAPELLIDO MIG104921, PRUEBANOMBRE MIG104921";42;4;16;28000;3
5314;"MIG104920";"PRUEBAAPELLIDO MIG104920, PRUEBANOMBRE MIG104920";41;3;16;68000;1
5313;"MIG104919";"PRUEBAAPELLIDO MIG104919, PRUEBANOMBRE MIG104919";50;2;25;42000;2
5312;"MIG104918";"PRUEBAAPELLIDO MIG104918, PRUEBANOMBRE MIG104918";36;4;10;33000;2
5311;"MIG104917";"PRUEBAAPELLIDO MIG104917, PRUEBANOMBRE MIG104917";29;2;5;123000;1
5310;"MIG104916";"PRUEBAAPELLIDO MIG104916, PRUEBANOMBRE MIG104916";49;1;24;48000;2
5309;"MIG104915";"PRUEBAAPELLIDO MIG104915, PRUEBANOMBRE MIG104915";65;1;39;94000;1
5308;"MIG104914";"PRUEBAAPELLIDO MIG104914, PRUEBANOMBRE MIG104914";30;1;4;110000;3
5307;"MIG104913";"PRUEBAAPELLIDO MIG104913, PRUEBANOMBRE MIG104913";51;1;26;28000;2
5306;"MIG104912";"PRUEBAAPELLIDO MIG104912, PRUEBANOMBRE MIG104912";46;2;22;153000;1
5305;"MIG104911";"PRUEBAAPELLIDO MIG104911, PRUEBANOMBRE MIG104911";48;1;22;120000;1
5304;"MIG104910";"PRUEBAAPELLIDO MIG104910, PRUEBANOMBRE MIG104910";41;2;16;25000;2
5303;"MIG104909";"PRUEBAAPELLIDO MIG104909, PRUEBANOMBRE MIG104909";40;2;16;138000;1
5302;"MIG104908";"PRUEBAAPELLIDO MIG104908, PRUEBANOMBRE MIG104908";34;3;9;101000;2
5301;"MIG104907";"PRUEBAAPELLIDO MIG104907, PRUEBANOMBRE MIG104907";54;1;28;49000;3
5300;"MIG104906";"PRUEBAAPELLIDO MIG104906, PRUEBANOMBRE MIG104906";62;3;37;19000;1
5299;"MIG104905";"PRUEBAAPELLIDO MIG104905, PRUEBANOMBRE MIG104905";64;1;40;88000;1
5298;"MIG104904";"PRUEBAAPELLIDO MIG104904, PRUEBANOMBRE MIG104904";40;2;15;18000;2
5297;"MIG104903";"PRUEBAAPELLIDO MIG104903, PRUEBANOMBRE MIG104903";33;2;8;58000;1
5296;"MIG104902";"PRUEBAAPELLIDO MIG104902, PRUEBANOMBRE MIG104902";26;3;0;54000;2
5295;"MIG104901";"PRUEBAAPELLIDO MIG104901, PRUEBANOMBRE MIG104901";26;4;1;74000;1
