"IDE_CLIENTE","IDE_CLIENTE_NIF","DES_CLIENTE","FEC_NACIMIENTO","NUM_EDAD","NUM_TAMANO_FAMILIAR","FEC_CONTRATO","NUM_ANOS_EXPERIENCIA","NUM_INGRESOS_ANO","IDE_NIVEL_EDUCACION","DES_NIVEL_EDUCACION"
410,"MIG100016","PRUEBAAPELLIDO MIG100016, PRUEBANOMBRE MIG100016","1954-10-23",60,1,"1984-10-23",30,22,3,"ALTO"
5394,"MIG105000","PRUEBAAPELLIDO MIG105000, PRUEBANOMBRE MIG105000","1986-10-23",28,3,"2010-10-23",4,83,1,"BASICO"
5393,"MIG104999","PRUEBAAPELLIDO MIG104999, PRUEBANOMBRE MIG104999","1949-10-23",65,3,"1974-10-23",40,49,2,"MEDIO"
5392,"MIG104998","PRUEBAAPELLIDO MIG104998, PRUEBANOMBRE MIG104998","1951-10-23",63,2,"1975-10-23",39,24,3,"ALTO"
5391,"MIG104997","PRUEBAAPELLIDO MIG104997, PRUEBANOMBRE MIG104997","1984-10-23",30,4,"2010-10-23",4,15,1,"BASICO"
5390,"MIG104996","PRUEBAAPELLIDO MIG104996, PRUEBANOMBRE MIG104996","1985-10-23",29,1,"2011-10-23",3,40,3,"ALTO"
5389,"MIG104995","PRUEBAAPELLIDO MIG104995, PRUEBANOMBRE MIG104995","1950-10-23",64,3,"1974-10-23",40,75,3,"ALTO"
5388,"MIG104994","PRUEBAAPELLIDO MIG104994, PRUEBANOMBRE MIG104994","1969-10-23",45,2,"1993-10-23",21,218,1,"BASICO"
5387,"MIG104993","PRUEBAAPELLIDO MIG104993, PRUEBANOMBRE MIG104993","1984-10-23",30,4,"2009-10-23",5,13,3,"ALTO"
5386,"MIG104992","PRUEBAAPELLIDO MIG104992, PRUEBANOMBRE MIG104992","1963-10-23",51,1,"1989-10-23",25,92,2,"MEDIO"
5385,"MIG104991","PRUEBAAPELLIDO MIG104991, PRUEBANOMBRE MIG104991","1959-10-23",55,4,"1989-10-23",25,58,3,"ALTO"
5384,"MIG104990","PRUEBAAPELLIDO MIG104990, PRUEBANOMBRE MIG104990","1990-10-23",24,1,"2014-10-23",0,38,3,"ALTO"
5383,"MIG104989","PRUEBAAPELLIDO MIG104989, PRUEBANOMBRE MIG104989","1980-10-23",34,1,"2006-10-23",8,85,1,"BASICO"
5382,"MIG104988","PRUEBAAPELLIDO MIG104988, PRUEBANOMBRE MIG104988","1966-10-23",48,3,"1991-10-23",23,43,2,"MEDIO"
5381,"MIG104987","PRUEBAAPELLIDO MIG104987, PRUEBANOMBRE MIG104987","1982-10-23",32,1,"2008-10-23",6,78,3,"ALTO"
5380,"MIG104986","PRUEBAAPELLIDO MIG104986, PRUEBANOMBRE MIG104986","1966-10-23",48,3,"1991-10-23",23,30,2,"MEDIO"
5379,"MIG104985","PRUEBAAPELLIDO MIG104985, PRUEBANOMBRE MIG104985","1987-10-23",27,4,"2013-10-23",1,98,3,"ALTO"
5378,"MIG104984","PRUEBAAPELLIDO MIG104984, PRUEBANOMBRE MIG104984","1963-10-23",51,1,"1988-10-23",26,72,1,"BASICO"
5377,"MIG104983","PRUEBAAPELLIDO MIG104983, PRUEBANOMBRE MIG104983","1978-10-23",36,4,"2004-10-23",10,45,1,"BASICO"
5376,"MIG104982","PRUEBAAPELLIDO MIG104982, PRUEBANOMBRE MIG104982","1980-10-23",34,2,"2005-10-23",9,195,1,"BASICO"
5375,"MIG104981","PRUEBAAPELLIDO MIG104981, PRUEBANOMBRE MIG104981","1985-10-23",29,3,"2009-10-23",5,135,1,"BASICO"
5374,"MIG104980","PRUEBAAPELLIDO MIG104980, PRUEBANOMBRE MIG104980","1964-10-23",50,1,"1988-10-23",26,92,2,"MEDIO"
5373,"MIG104979","PRUEBAAPELLIDO MIG104979, PRUEBANOMBRE MIG104979","1957-10-23",57,4,"1987-10-23",27,63,3,"ALTO"
5372,"MIG104978","PRUEBAAPELLIDO MIG104978, PRUEBANOMBRE MIG104978","1974-10-23",40,3,"1999-10-23",15,54,3,"ALTO"
5371,"MIG104977","PRUEBAAPELLIDO MIG104977, PRUEBANOMBRE MIG104977","1985-10-23",29,1,"2009-10-23",5,31,2,"MEDIO"
5370,"MIG104976","PRUEBAAPELLIDO MIG104976, PRUEBANOMBRE MIG104976","1976-10-23",38,4,"2003-10-23",11,29,2,"MEDIO"
5369,"MIG104975","PRUEBAAPELLIDO MIG104975, PRUEBANOMBRE MIG104975","1955-10-23",59,4,"1981-10-23",33,64,2,"MEDIO"
5368,"MIG104974","PRUEBAAPELLIDO MIG104974, PRUEBANOMBRE MIG104974","1983-10-23",31,4,"2013-10-23",1,68,3,"ALTO"
5367,"MIG104973","PRUEBAAPELLIDO MIG104973, PRUEBANOMBRE MIG104973","1956-10-23",58,3,"1982-10-23",32,41,3,"ALTO"
5366,"MIG104972","PRUEBAAPELLIDO MIG104972, PRUEBANOMBRE MIG104972","1956-10-23",58,1,"1986-10-23",28,73,3,"ALTO"
5365,"MIG104971","PRUEBAAPELLIDO MIG104971, PRUEBANOMBRE MIG104971","1977-10-23",37,2,"2001-10-23",13,95,2,"MEDIO"
5364,"MIG104970","PRUEBAAPELLIDO MIG104970, PRUEBANOMBRE MIG104970","1969-10-23",45,2,"1995-10-23",19,60,3,"ALTO"
5363,"MIG104969","PRUEBAAPELLIDO MIG104969, PRUEBANOMBRE MIG104969","1956-10-23",58,4,"1982-10-23",32,41,1,"BASICO"
5362,"MIG104968","PRUEBAAPELLIDO MIG104968, PRUEBANOMBRE MIG104968","1973-10-23",41,1,"1998-10-23",16,69,2,"MEDIO"
